Id,Name,Developer,Description,Pricing,Rating,Reviews Count,Category
privy,"Privy ‑ Pop Ups, Email, & SMS",Privy,"Exit Pop Ups, Email Marketing, Text, Upsell & Cart Recovery",1.99,4.6,24265,Store design
free-shipping-bar,Free Shipping Bar,Hextom,Free shipping bar with updated cart goal to boost order value,Free,4.9,9555,Store design
doubly-currency-converter,BEST Currency Converter,Grizzly Apps SRL,Show prices in customers local currency. Make shopping easy.,Free,4.8,7088,Store design
shoppop,Sales Pop ‑ Social Proof Popup,CartKit,Sales Pop Up & Recent Sales Popup for Social Proof,Free,4.8,6696,Store design
product-reviews-addon,Stamped.io Product Reviews UGC,Stamped.io,"Collect Product Reviews, Photos/Videos Reviews, Q&A and UGC",Free,4.9,3758,Store design
omnisend,Omnisend Email Marketing,Omnisend,The All-In-One Marketing Automation Platform with SMS and More,5,4.7,3672,Marketing
smile-io,Smile: Rewards & Loyalty,Smile.io,"Boost sales & retention with points, referrals, and pop ups",Free,3.7,3493,Store design
aftership,AfterShip ‑ Track & Notify,AfterShip + Automizely,Boost sales with branded tracking page & delivery updates,2,3.8,3464,Finding and adding products
consistent-cart,Consistent Cart ‑ Abandon Cart,CartKit,Email Marketing Push Notification SMS. Recover Abandoned Carts,3.45,2.8,3427,Marketing
google,Google channel,Shopify,Reach shoppers and get discovered across Google.,Free,3.4,3345,Places to sell
sixads-net,FREE Traffic & Ads by sixads,sixads,"Traffic from other Stores, Facebook, Instagram and Google Ads",Free,2.8,3309,Store design
pagefly,PageFly #1 Page Builder,PageFly,"Create landing page, product page, contact us, about us, FAQ",Free,5,3164,Store design
custom-options,Infinite Options,ShopPad Inc.,"Customizable product options, inputs, fields & bundling",2.99,4.1,3004,Store design
printful,Printful: Print‑on‑Demand,Printful,Top rated print-on-demand drop shipping & warehousing service,Free,4.4,2995,Finding and adding products
judgeme,Judge.me Product Reviews,Judge.me,"Site & product reviews (photos, videos, Q&A for social proof)",2.99,5,2596,Store design
recurring-orders,Bold Subscriptions,BOLD,"#1 Ranked Subscription Box, Recurring Orders & Payments App",Free,4.8,1726,Orders and shipping
seo-meta-manager,SEO Manager,venntov,SEO power tool. Rank higher. Get found. Sell more. Manage SEO.,2.99,4.7,1674,Marketing
seo-booster,SEO Booster ‑ SEO Marketing,Secomapp,Auto optimize SEO & Google traffic daily. Beginner to Advanced,1.89,4.8,1605,Store design
whatsapp-chat-for-support,WhatsApp Chat + Abandoned Cart,pushdaddy.com,100% FREE WhatsApp Chat + FREE Abandoned Cart. No POWERED By,2.45,4.8,1585,Customer support
reconvert-upsell-cross-sell,ReConvert Upsell & Cross Sell,StilyoApps,Design thank you page for post purchase sweet upsell,1.99,5,1577,Marketing
frequently-bought-together,Frequently Bought Together,Code Black Belt,"Amazon-like Recommended Products, Upsell Bundles and Discounts",3.99,4.9,1546,Sales and conversion optimization
trust,TRUST,"Varinode, Inc.","Free trust badges and review tools, proven to increase sales",2.99,4.9,1521,Store design
gempage,GemPages Page Builder & Funnel,GemPages,"Home page, product page, collection page, sales pages & FAQs ",1.89,3.4,1491,Store design
product-upsell,Bold Upsell ‑ Upsell Smarter,BOLD,Sell more with upsells and cross-sells,2.45,2.4,1463,Sales and conversion optimization
kit,Kit,Shopify,Run better Facebook ads,1.99,3.9,1460,Marketing
cleverppc,Google Ads & Google Shopping,Clever Ecommerce,"Google Ads: Google Adwords, Google Shopping Ads & Remarketing",3.99,4.2,1458,Marketing
web-push-notification,Smart Push Marketing ‑ WebPush,Hextom,Abandoned carts recovery via web push notifications,Free,2.7,1450,Store design
